ChEMBL ID;Name;Synonyms;Type;Molecular Weight;Targets;Bioactivities;AlogP;Polar Surface Area;HBA;HBD;#RO5 Violations;#Rotatable Bonds;CX Acidic pKa;CX Basic pKa;CX LogP;Aromatic Rings;Heavy Atoms;HBA (Lipinski);HBD (Lipinski);#RO5 Violations (Lipinski);Molecular Weight (Monoisotopic);Molecular Formula;Smiles;Inchi Key
CHEMBL1464;WARFARIN;NSC-59813|WARFARIN|Warfarin;Small molecule;308.33;166;1096;3.61;67.51;4;1;0;4;5.56;;2.74;3;23;4;1;0;3.081.049;C19H16O4;CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O;PJVWKTKQMONHTI-UHFFFAOYSA-N
CHEMBL3989727;VITAMIN E;.ALPHA.-TOCOPHEROL|.ALPHA.-TOCOPHEROL ACETATE, DL-|.ALPHA.-TOCOPHEROL SUCCINATE|.ALPHA.-TOCOPHEROL SUCCINATE, D-|.ALPHA.-TOCOPHEROL, D-|.ALPHA.-TOCOPHERYL ACETATE, DL-|.ALPHA.-TOCOPHERYL SUCCINATE|.ALPHA.-TOCOPHERYL SUCCINATE, D-|5,7,8-TRIMETHYLTOCOL|ALL-RAC-ALFA-TOCOPHERYL ACETATE|ALL-RAC-ALPHA-TOCOPHERYL ACETATE|ALPHA TOCOPHEROL|ALPHA-TOCOPHEROL|ALPHA-TOCOPHEROL ACETATE, DL-|ALPHA-TOCOPHEROL SUCCINATE|ALPHA-TOCOPHEROL SUCCINATE, D-|ALPHA-TOCOPHEROL, D-|ALPHA-TOCOPHEROLS|ALPHA-TOCOPHERYL ACETATE, DL-|Alpha Tocopherol|Aquasol E|BIO-E-VIT|D-ALPHA TOCOFERIL ACID SUCCINATE|D-ALPHA TOCOPHEROL|D-ALPHA-TOCOPHEROL|DAVINA|DL-.ALPHA.-TOCOPHEROL ACETATE|DL-.ALPHA.-TOCOPHERYL ACETATE|DL-ALPHA TOCOPHERYL ACETATE|DL-ALPHA-TOCOPHERYL ACETATE|E-307A|E-CAPS|ENVIROSE 100|Eprolin|FORT-E-VITE|FORT-E-VITE 1000|FORT-E-VITE PLUS|FORT-E-VITE SUPER PLUS|HARRIS|INS NO.307A|INS-307A|J203.513H|J24.260H|J24.824J|J262.912G|JARROW FOR|NSC-173849|NSC-20812|Natopherol|R,R,R-.ALPHA.-TOCOPHEROL|RRR-ALPHA-TOCOPHEROL CONCENTRATE|SIGMA|TOCOPHEROL|TOCOPHEROL (VIT E)|TOCOPHEROL SUCCINATE|TOCOPHEROL, D-ALPHA-|TOCOPHERYL ACETATE, D-ALPHA|TOCOPHERYL ACETATE, DL-.ALPHA.|TOCOPHERYL ACETATE, DL-ALPHA|TOCOPHERYL ACETATE,DL-ALPHA|TOCOPHERYL ACID SUCCINATE|TOCOPHERYL ACID SUCCINATE, D-ALPHA|TOCOPHERYL ACID SUCCINATE,D-ALPHA|TOCOPHERYL SUCCINATE|Tocopherol|VITAMIN E|VITAMIN E (AS ALPHA TOCOPHEROL)|VITAMIN E D-ALPHA|VITAMIN E HEMISUCCINATE|VITAMIN E SUCCINATE|VITAMIN E, UNSPECIFIED FORM|VITAMINE E SUCCINATE;Small molecule;;;;;;;;;;;;;;;;;;;;;
CHEMBL367149;DOCONEXENT;22:6 N-3|C22:6 (N-3)|CERVONIC ACID|DOCONEXENT|DOCOSAHEAENOIC-ACID|DOCOSAHEXAENOATE|DOCOSAHEXAENOIC ACID|DOCOSAHEXAENOIC ACID (C22:6 N3)|DOCOSAHEXANOIC ACID|OMEGA-3 MARINE TRIGLYCERIDES;Small molecule;328.50;54;137;6.55;37.30;1;1;1;14;4.89;;6.75;0;24;2;1;1;3.282.402;C22H32O2;CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O;MBMBGCFOFBJSGT-KUBAVDMBSA-N
CHEMBL1201472;ICODEXTRIN;Extraneal|ICODEXTRIN;Unknown;;;;;;;;;;;;;;;;;;;;;
CHEMBL1256391;PIRFENIDONE;AMR-69|ESBRIET|NSC-748456|PIRESPA|PIRFENIDONE;Small molecule;185.23;40;133;2.15;22.00;2;0;0;1;;;2.14;2;14;2;0;0;1.850.841;C12H11NO;Cc1ccc(=O)n(-c2ccccc2)c1;ISWRGOKTTBVCFA-UHFFFAOYSA-N
CHEMBL1269025;EDOXABAN;DU-176|EDOXABAN|LIXIANA;Small molecule;548.07;6;11;1.29;136.63;8;3;1;5;10.74;6.33;0.90;2;37;11;3;2;5.471.769;C24H30ClN7O4S;CN1CCc2nc(C(=O)N[C@@H]3C[C@@H](C(=O)N(C)C)CC[C@@H]3NC(=O)C(=O)Nc3ccc(Cl)cn3)sc2C1;HGVDHZBSSITLCT-JLJPHGGASA-N
CHEMBL1201451;ALBUMIN HUMAN;ALBUMIN|ALBUMIN (BOVINE)|ALBUMIN (HUMAN)|ALBUMIN BOVINE|ALBUMIN HUMAN|ALBUMIN HUMAN. PLASMA-DERIVED|ALBUMIN MICROSPHERES, HUMAN|ALBUMIN TEST|ALBUMIN, BLOOD|ALBUMIN, BOVINE|ALBUMIN, HUMAN|ALBUMIN,HUMAN|ALBUMIN. PLASMA-DERIVED|ALBUMINAR-5|ALBUMISOL|ALBUTEIN|ALLERGEN: BOS D 6|BOVINE ALBUMIN|BOVINE SERUM ALBUMIN|BSA FOR PROTEIN QUANTITATION|BUMINATE|FRACTION V|HUMAN ALBUMIN|HUMAN SERUM ALBUMIN|NORMAL HUMAN SERUM ALBUMIN|Optison|PLASBUMIN|SERUM ALBUMIN|SERUM ALBUMIN BOVINE;Protein;;;;;;;;;;;;;;;;;;;;;
CHEMBL2107830;EMPAGLIFLOZIN;BI 10773|BI-10773|BI10773|EMPAGLIFLOZIN|JARDIANCE;Small molecule;450.92;5;19;1.61;108.61;7;4;0;6;12.57;;1.66;2;31;7;4;0;4.501.445;C23H27ClO7;OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(O[C@H]4CCOC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O;OBWASQILIWPZMG-QZMOQZSNSA-N
CHEMBL655;MIDAZOLAM;MIDAZOLAM|MIDAZOLAM CIV|MIDAZOLAM IN 0.8% SODIUM CHLORIDE|MIDAZOLAM IN 0.9% SODIUM CHLORIDE|NAYZILAM|USL-261|USL261;Small molecule;325.77;54;353;4.32;30.18;3;0;0;1;;6.19;3.97;3;23;3;0;0;3.250.782;C18H13ClFN3;Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2;DDLIGBOFAVUZHB-UHFFFAOYSA-N
CHEMBL1352;NITRIC ACID;NITRIC ACID|Nitrate (No3-);Small molecule;63.01;73;85;-0.35;63.37;2;1;0;0;;;-0.20;0;4;4;1;0;629.956;HNO3;O=[N+]([O-])O;GRYLNZFGIOXLOG-UHFFFAOYSA-N
CHEMBL1237119;TREPROSTINIL;15-AU-81|15AU81|L-606|LRX -15|LRX-15|RUMODOLIN|Remodulin|TREPROSTINIL|TRESPROSTINIL|TYVASO|TYVASO DPI|UNIPROST|UT-15;Small molecule;390.52;4;20;3.58;86.99;4;3;0;10;3.76;;4.00;1;28;5;3;0;3.902.406;C23H34O5;CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1O;PAJMKGZZBBTTOY-ZFORQUDYSA-N
CHEMBL112302;SODIUM SELENITE;DISODIUM SELENITE|NSC-347466|SELENIOUS ACID DISODIUM SALT|SELENIOUS ACID, DISODIUM SALT|SELENIOUS ACID, SODIUM SALT (1:2)|SODIUM SELENITE|SODIUM SELENITE ANHYDROUS|Sodium Selenite;Small molecule;172.94;12;212;;;;;;;;;;;;;;;1.299.169;Na2O3Se;O=[Se]([O-])[O-].[Na+].[Na+];BVTBRVFYZUCAKH-UHFFFAOYSA-L
CHEMBL1711;ISOPROTERENOL HYDROCHLORIDE;AEROTROL|Aerolone|DL-ISOPRENALINE HYDROCHLORIDE|EUSPIRAN|ISOMENYL|ISOPRENALINE HYDROCHLORIDE|ISOPRENALINE HYDROCHLORIDE, DL-|ISOPROPYLARTERENOL HYDROCHLORIDE|ISOPROTERENOL HCL|ISOPROTERENOL HYDROCHLORIDE|ISOVON|Imuprel|Isoprenaline|Isoproterenol Hydrochloride|Isuprel|L-ISOPRENALINE HYDROCHLORIDE|MISTAREL|Medihaler-Iso|NORISODRINE AEROTROL|NSC-37745|NSC-89747|Norisodrine|Oriconazole|SUSCARDIA|VAPO-ISO;Small molecule;247.72;48;111;1.13;72.72;4;4;0;4;9.81;8.96;0.24;1;15;4;4;0;2.111.208;C11H18ClNO3;CC(C)NCC(O)c1ccc(O)c(O)c1.Cl;IROWCYIEJAOFOW-UHFFFAOYSA-N
CHEMBL1737;SILDENAFIL CITRATE;NSC-744009|NSC-758669|REVATIO|SILDENAFIL (AS CITRATE)|SILDENAFIL CITRATE|UK-92,480-10|UK-92480-10|Viagra;Small molecule;666.71;26;62;1.61;113.42;8;1;0;7;7.63;5.98;1.23;3;33;10;1;0;4.742.049;C28H38N6O11S;CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12.O=C(O)CC(O)(CC(=O)O)C(=O)O;DEIYFTQMQPDXOT-UHFFFAOYSA-N
CHEMBL1201108;CONIVAPTAN HYDROCHLORIDE;CI-1025|CONIVAPTAN HCL|CONIVAPTAN HYDROCHLORIDE|Vaprisol|YM-087|YM087;Small molecule;535.05;2;4;6.51;78.09;3;2;1;4;12.26;6.56;5.31;5;38;6;2;1;4.982.056;C32H27ClN4O2;Cc1nc2c([nH]1)-c1ccccc1N(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)CC2.Cl;BTYHAFSDANBVMJ-UHFFFAOYSA-N
CHEMBL419213;LISINOPRIL;ACEMIN|CARACE|LISINOPRIL|LISINOPRIL DIHYDRATE|LISINOPRIL HYDRATE|LISOPRESS|MK-521|Prinivil|QBRELIS|RANOLIP|Zestril;Small molecule;441.53;11;26;1.24;132.96;5;4;0;12;3.17;10.21;-3.10;1;29;8;5;0;4.052.264;C21H35N3O7;NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O.O.O;CZRQXSDBMCMPNJ-ZUIPZQNBSA-N
CHEMBL1744447;ROSUVASTATIN CALCIUM;Crestor|EZALLOR|EZALLOR SPRINKLE|FORTIUS|NSC-747274|NSC-758930|ROSTAR|ROSUVASTATIN (AS CALCIUM)|ROSUVASTATIN CALCIUM|ROSUVASTATIN CALCIUM SALT|ROSUVASTATIN HEMICALCIUM|ROZAVEL|S-4522|SUVIKAN|ZD-4522|ZD-4522 (CALCIUM SALT)|ZD-4522 CALCIUM|ZD4522 (CALCIUM SALT)|ZD4522 CALCIUM;Small molecule;1001.15;12;57;2.40;140.92;7;3;0;10;4.00;;1.92;2;33;9;3;0;4.811.683;C44H54CaF2N6O12S2;CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Ca+2];LALFOYNTGMUKGG-BGRFNVSISA-L
CHEMBL2356097;METOPROLOL SUCCINATE;H 93/26 SUCCINATE|KAPSPARGO SPRINKLE|METOPROLOL HEMISUCCINATE|METOPROLOL SUCCINATE|SELOKEN-ZOK|SELOZOK|TOPROL-XL|Toprol|Toprol XL;Small molecule;652.83;2;3;1.61;50.72;4;2;0;9;;9.67;1.76;1;19;4;2;0;2.671.834;C34H56N2O10;COCCc1ccc(OCC(O)CNC(C)C)cc1.COCCc1ccc(OCC(O)CNC(C)C)cc1.O=C(O)CCC(=O)O;RGHAZVBIOOEVQX-UHFFFAOYSA-N
CHEMBL1201565;EPOETIN ALFA;BINOCRIT|EPO|EPOETIN|EPOETIN ALFA|EPREX|ERYTHROPOIETIN|ERYTHROPOIETIN FOR BIOASSAYS|Epoetin alfa|Epogen|Procrit;Protein;;2;19;;;;;;;;;;;;;;;;;;
CHEMBL203266;TRIMETAZIDINE;40045|DILATAN|TRIMETAZIDINE|VASTAREL|VASTAREL MR;Small molecule;266.34;124;313;1.12;42.96;5;1;0;5;;9.21;0.91;1;19;5;1;0;2.661.630;C14H22N2O3;COc1ccc(CN2CCNCC2)c(OC)c1OC;UHWVSEOVJBQKBE-UHFFFAOYSA-N
CHEMBL2103749;BIVALIRUDIN;ANGIOMAX RTU|Angiomax|BG-8967|BG8967|BIVALIRUDIN|BIVALIRUDIN IN 0.9% SODIUM CHLORIDE;Protein;2180.32;5;6;;;;;;;;;;;;;;;21.789.858;C98H138N24O33;CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)O;OIRCOABEOLEUMC-GEJPAHFPSA-N
CHEMBL2109072;FIBRINOGEN, HUMAN;EVARREST|FACTOR I (FIBRINOGEN)|FACTOR I HUMAN|FIBRINOGEN|FIBRINOGEN (HUMAN)|FIBRINOGEN CONCENTRATE (HUMAN)|FIBRINOGEN CONCENTRATE HUMAN|FIBRINOGEN HUMAN|FIBRINOGEN HUMAN PLASMA-DERIVED|FIBRINOGEN, HUMAN|Fibrogen|HAEMOCOMPLETTAN P|HUMAN FIBRINOGEN|PARENOGEN|RAPLIXA;Unknown;;;;;;;;;;;;;;;;;;;;;
CHEMBL32800;FENOTEROL;AIRUM|BERODUAL|BERODUAL N|BEROTEC|BEROTEC 100|BEROTEC 200|Berotec [as hydrobromide]|DOSBEROTEC|DUOVENT|FENOTEROL|FENOTEROL HBR|FENOTEROL HYDROBROMIDE|NSC-757811|PARTUSISTEN|TH 1165A|TH 1165A FREE BASE|TH 1165A [AS HYDROBROMIDE SALT]|TH-1165|TH-1165A|TH-1165A FREE BASE;Small molecule;303.36;41;95;2.06;92.95;5;5;0;6;8.85;9.63;1.47;2;22;5;5;0;3.031.471;C17H21NO4;CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1;LSLYOANBFKQKPT-UHFFFAOYSA-N
CHEMBL123558;AZIMILIDE;AZIMILIDE;Small molecule;457.96;9;54;3.23;72.60;6;0;0;8;11.95;8.30;2.59;2;32;8;0;0;4.571.881;C23H28ClN5O3;CN1CCN(CCCCN2C(=O)CN(/N=C/c3ccc(-c4ccc(Cl)cc4)o3)C2=O)CC1;MREBEPTUUMTTIA-PCLIKHOPSA-N
CHEMBL184412;DRONEDARONE;DRONEDARONE|SR-33589|SR33589;Small molecule;556.77;12;49;7.05;88.85;6;1;2;18;9.08;9.79;5.28;3;39;7;1;2;5.562.971;C31H44N2O5S;CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1;ZQTNQVWKHCQYLQ-UHFFFAOYSA-N
CHEMBL4297517;MAVACAMTEN;CAMZYOS|MAVACAMTEN|MYK-461|SAR-439152;Small molecule;273.34;5;8;2.29;66.89;4;2;0;4;10.70;;2.21;2;20;5;2;0;2.731.477;C15H19N3O2;CC(C)n1c(=O)cc(N[C@@H](C)c2ccccc2)[nH]c1=O;RLCLASQCAPXVLM-NSHDSACASA-N
CHEMBL640;PROCAINAMIDE;NOVOCAINAMIDE|NSC-27461|PROCAINAMIDE|Procainamide|Procan|Procanbid|Procapan|Pronestyl|Pronestyl-SR|SP 100 (PHARMACEUTICAL);Small molecule;235.33;170;766;1.34;58.36;3;2;0;6;;9.04;0.95;1;17;4;3;0;2.351.685;C13H21N3O;CCN(CC)CCNC(=O)c1ccc(N)cc1;REQCZEXYDRLIBE-UHFFFAOYSA-N
CHEMBL1064;SIMVASTATIN;C10AA01|FLOLIPID|LACERSA|MK-0733|MK-733|NSC-758706|RANZOLONT|SIMVADOR|SIMVASTATIN|SYNVINOLIN|Simvastatin hydroxy acid|ZOCOR HEART-PRO|Zocor;Small molecule;418.57;226;2833;4.59;72.83;5;1;0;6;;;4.46;0;30;5;1;0;4.182.719;C25H38O5;CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21;RYMZZMVNJRMUDD-HGQWONQESA-N
CHEMBL1200689;NITRIC OXIDE;AMIDOGEN, OXO-|GENOSYL|INOVENT|Inomax|NITRIC OXIDE|NITRIC OXIDE TRIMER|NITROGEN OXIDE (NO)|NITROSYL RADICAL|Nitric oxide|OHM-11771;Small molecule;30.01;3;16;-0.45;39.37;1;0;0;0;;;-0.35;0;2;2;0;0;299.980;NO;[N]=O;MWUXSHHQAYIFBG-UHFFFAOYSA-N
CHEMBL2107882;RELAXIN;Cervilaxin|PIG RELAXIN|PORCINE RELAXIN|RELAXIN|RELAXIN (SWINE)|RELAXIN PORCINE|RELAXIN SUS SCROFA|Releasin;Unknown;;;;;;;;;;;;;;;;;;;;;
CHEMBL4297617;MIBENRATIDE;JNJ-54452840|MIBENRATIDE;Protein;2097.28;;;;;;;;;;;;;;;;;20.958.840;C87H129N27O30S2;CC(C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H]2CSSC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC1=O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(=O)N2;CQXYENUJCPYPTI-LZUXSVOASA-N
